Country ID,Country,"Time series - Total N2O emissions, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N2O emissions, latest year",% change since 1990,"N2O emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
231,Ethiopia,"3,100.00","4,340.00","4,650.00","4,650.00","12,134.98","11,025.40","11,851.02","15,927.29","16,209.34","16,341.90","15,731.22","16,047.50","18,274.50","17,933.81","19,562.18","10,924.85","18,969.54","13,388.10","21,952.74","22,675.18","23,647.45","20,752.26","24,240.07","24,123.86",...,...,...,...,...,2013,"24,123.86",678.19,0.253
242,Fiji,...,...,...,...,27.90,...,...,...,...,...,...,...,...,...,628.68,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,628.68,...,0.769
246,Finland,21.33,19.86,18.42,18.97,19.35,19.81,19.93,19.98,19.39,19.22,19.47,19.12,19.25,19.70,19.99,20.29,19.60,19.83,20.36,17.46,16.14,15.67,15.64,15.77,15.97,15.99,16.03,16.17,16.00,2018,16.00,-24.97,0.003
250,France,222.75,224.59,223.43,220.70,220.96,226.08,231.18,230.95,208.55,188.90,185.29,184.13,174.92,168.59,163.20,160.03,155.70,156.26,153.65,148.49,140.92,136.00,136.71,135.96,140.05,139.49,135.93,140.98,135.31,2018,135.31,-39.26,0.002
266,Gabon,...,...,...,...,949.22,...,...,...,...,...,291.85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,291.85,...,0.238
270,Gambia,...,...,...,66.01,...,...,...,...,...,...,"1,102.90",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"1,102.90",...,0.837
268,Georgia,622.85,"2,006.94","1,631.84","1,077.87",982.39,999.13,"1,210.55",338.52,...,...,"1,822.09","1,810.37","1,872.49","1,872.80","1,857.18","2,268.08","2,081.20","1,865.58","1,651.33","2,026.79","1,997.68","1,990.30","2,078.44","2,223.46",...,...,...,...,...,2013,"2,223.46",256.98,0.549
276,Germany,209.81,202.54,206.74,197.85,201.56,199.67,204.25,194.51,151.74,139.96,140.14,144.99,142.18,144.41,151.71,145.23,143.71,150.03,151.36,148.39,121.60,125.97,123.70,125.53,127.69,129.76,126.96,125.98,119.19,2018,119.19,-43.19,0.001
288,Ghana,"2,813.56","2,520.61","2,473.80","2,526.50","2,569.90","2,501.70","2,675.30","2,802.09","2,822.55","2,988.40","3,069.00","3,335.60","3,313.90","3,434.80","3,496.80","3,568.10","3,960.56",...,...,...,...,...,...,...,...,...,...,...,...,2006,"3,960.56",40.77,0.177
300,Greece,25.05,24.59,24.06,22.19,21.80,22.49,23.07,22.53,22.27,22.12,21.38,20.93,20.79,20.55,20.56,19.99,19.43,19.77,18.97,17.76,18.42,17.60,16.17,15.16,14.47,14.26,14.44,14.65,14.38,2018,14.38,-42.60,0.001
308,Grenada,...,...,...,...,0.95,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,0.95,...,0.010
320,Guatemala,"6,409.25",...,...,...,"3,614.91",...,...,...,...,...,"5,203.97",...,...,...,...,"5,159.02",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"5,159.02",-19.51,0.394
324,Guinea,...,...,...,...,227.63,...,...,...,...,...,"38,130.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"38,130.00",...,4.627
624,Guinea-Bissau,...,...,...,...,846.67,...,...,...,...,...,...,...,...,...,...,...,773.79,...,...,...,"7,164.10",...,...,...,...,...,...,...,...,2010,"7,164.10",...,4.705
328,Guyana,223.20,223.20,223.20,223.20,223.20,223.20,223.20,223.20,223.20,238.70,238.70,238.70,238.70,238.70,238.70,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,238.70,6.94,0.320
332,Haiti,...,...,...,...,"1,137.70","1,373.30","1,435.30","1,472.50","1,519.00","1,522.10","1,565.50",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"1,565.50",...,0.185
340,Honduras,...,...,...,...,...,978.42,...,...,...,...,"2,287.80",...,...,...,...,"1,834.27",...,...,...,...,...,...,...,...,...,"1,685.16",...,...,...,2015,"1,685.16",...,0.185
348,Hungary,28.11,19.12,14.91,15.53,18.73,15.94,17.89,17.88,17.57,17.00,18.14,19.65,17.35,17.09,19.75,18.85,17.93,16.09,13.74,12.76,12.51,13.15,12.94,14.08,14.87,15.21,16.11,16.11,16.30,2018,16.30,-41.99,0.002
352,Iceland,1.27,1.23,1.18,1.20,1.21,1.19,1.24,1.22,1.21,1.24,1.17,1.15,1.07,1.04,1.04,1.05,1.08,1.12,1.15,1.06,1.03,1.01,1.03,1.01,1.11,1.05,1.05,1.08,1.03,2018,1.03,-19.27,0.003
356,India,...,...,...,...,"55,304.00",...,...,...,...,...,"79,801.25",...,...,...,...,...,...,...,...,...,"1,14,365.20",...,...,...,...,...,...,...,...,2010,"1,14,365.20",...,0.093
360,Indonesia,"18,017.20","17,973.80","18,972.00","18,717.80","18,162.90",...,...,...,...,...,"28,474.43",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"28,474.43",58.04,0.135
364,Iran (Islamic Republic of),...,...,...,...,"21,643.58",...,...,...,...,...,"40,145.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"40,145.00",...,0.612
368,Iraq,...,...,...,...,...,...,...,"5,580.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,"5,580.00",...,0.260
372,Ireland,25.94,25.11,24.84,25.25,26.12,27.13,27.52,27.15,28.57,27.75,26.70,25.06,23.91,23.53,23.21,22.69,21.80,21.22,21.03,20.44,21.29,19.93,20.46,21.94,21.33,21.33,21.70,22.65,23.33,2018,23.33,-10.03,0.005
376,Israel,...,...,...,...,...,...,"1,898.19",...,...,...,"2,206.71",...,...,"2,420.65","2,540.89","2,542.67","2,564.12","2,754.14","2,600.35","2,362.64","2,414.19","1,929.19","2,261.38","2,236.50","2,337.73","2,296.83","2,253.28","1,788.47","1,936.90",2018,"1,936.90",...,0.231
380,Italy,87.37,90.78,89.22,90.71,88.94,92.55,92.93,96.23,97.15,99.02,96.13,96.79,94.73,94.23,96.92,94.07,77.60,75.19,70.15,66.29,64.02,62.27,63.93,61.37,59.85,59.93,60.74,60.43,59.38,2018,59.38,-32.04,0.001
388,Jamaica,...,...,...,...,"1,06,535.10",...,...,...,...,...,...,...,...,...,...,...,"3,871.90","4,984.80","6,875.80","6,665.00","6,640.20",...,"6,590.60",...,...,...,...,...,...,2012,"6,590.60",...,2.319
392,Japan,106.97,105.97,106.55,106.09,110.31,111.34,115.13,117.84,112.53,91.90,100.35,88.22,86.36,85.83,85.26,83.77,83.35,81.22,78.48,76.32,74.48,73.12,72.05,72.14,70.81,69.59,67.77,68.52,67.11,2018,67.11,-37.26,0.001
400,Jordan,...,...,...,...,78.65,...,...,...,...,...,348.49,...,...,...,...,...,"1,550.00",...,...,...,...,...,...,...,...,...,...,...,...,2006,"1,550.00",...,0.259
398,Kazakhstan,59.56,56.79,59.34,55.13,46.98,43.13,42.91,45.27,49.58,56.95,63.46,61.91,60.62,59.58,57.78,56.33,55.51,55.00,51.92,51.14,51.33,52.63,52.10,52.94,54.81,55.27,55.67,57.20,58.14,2018,58.14,-2.38,0.003
404,Kenya,...,...,...,...,417.17,"11,082.50",...,...,...,...,"10,602.00",...,...,...,...,"12,406.20",...,...,...,...,"13,819.80",...,...,...,...,...,...,...,...,2010,"13,819.80",...,0.329
296,Kiribati,...,...,...,...,0.00,...,...,...,...,...,...,...,...,...,...,...,191.14,200.88,104.39,...,...,...,...,...,...,...,...,...,...,2008,104.39,...,1.057
414,Kuwait,...,...,...,...,136.40,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,413.54,...,...,2016,413.54,...,0.105
417,Kyrgyzstan,"2,503.84","2,610.85","2,621.79","1,700.78","1,328.44","1,169.88","1,164.11","1,368.46","1,358.98","1,373.36","1,367.32","1,411.03","1,439.52","1,454.86","1,452.69","1,498.82","1,511.53","1,550.00","1,568.94","1,680.26","1,699.30",...,...,...,...,...,...,...,...,2010,"1,699.30",-32.13,0.313
418,Lao People's Democratic Republic,37.20,...,...,...,...,...,...,...,...,...,"2,501.70",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"2,501.70","6,625.00",0.470
428,Latvia,10.70,10.32,8.44,6.98,6.20,5.66,5.64,5.62,5.44,5.21,5.23,5.49,5.37,5.52,5.47,5.60,5.60,5.77,5.70,5.77,5.87,5.87,6.09,6.17,6.30,6.45,6.43,6.49,6.29,2018,6.29,-41.25,0.003
422,Lebanon,...,...,...,...,970.46,...,...,...,...,...,"1,041.60",...,...,...,...,...,...,...,...,...,...,954.80,967.20,"1,008.08",...,...,...,...,...,2013,"1,008.08",...,0.170
426,Lesotho,...,...,...,...,213.90,...,...,...,...,...,"1,450.80",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,"1,450.80",...,0.714
430,Liberia,...,...,...,...,...,...,...,...,...,...,310.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,310.00,...,0.109
438,Liechtenstein,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2018,0.03,-10.23,0.001
